Model,Scaler,Oversampler,Training Time,Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1
ANN,MinMax,SMOTE,41.63750339,0.9468878601,0.9199903312,0.9774663369,0.978909465,0.9148662551,0.9485358255,0.9451308622
1DCNN,MinMax,SMOTE,26.69914341,0.9103652263,0.8725192622,0.9567706842,0.9611625514,0.8595679012,0.9146983233,0.9055683512
BiRNN,MinMax,SMOTE,385.0990109,0.9166666667,0.8580901857,0.9981549815,0.9984567901,0.8348765432,0.9229671897,0.9092436975
LSTM,MinMax,SMOTE,203.7021408,0.9175668724,0.8726187744,0.9748464463,0.9778806584,0.8572530864,0.9222559127,0.9122758998
GRU,MinMax,SMOTE,204.2978697,0.9162808642,0.856890849,0.9993829065,0.9994855967,0.8330761317,0.9227116229,0.9086828447
ANN,MinMax,ADASYN,41.85670662,0.9438821268,0.9250862494,0.9642380571,0.9655349794,0.9223895839,0.944877926,0.9428496868
1DCNN,MinMax,ADASYN,26.36186504,0.9221012172,0.9151898734,0.9291828794,0.9297839506,0.9144753638,0.9224291911,0.9217704581
BiRNN,MinMax,ADASYN,795.3404012,0.9098014094,0.8529933481,0.9875569044,0.9894547325,0.8307378095,0.9161705168,0.902384914
LSTM,MinMax,ADASYN,445.0603132,0.9163356823,0.8573006406,0.9978645516,0.9981995885,0.8350778657,0.9224004753,0.9092425295
GRU,MinMax,ADASYN,564.2813742,0.9197950032,0.8716955333,0.9815627744,0.9837962963,0.8562675517,0.924359594,0.9146441233
ANN,MinMax,Random,21.02137947,0.8802726337,0.9698125199,0.8193994383,0.7849794239,0.9755658436,0.8676616915,0.8906892098
1DCNN,MinMax,Random,24.02036333,0.8531378601,0.9403463759,0.7947617003,0.7541152263,0.9521604938,0.8369968598,0.8663702317
BiRNN,MinMax,Random,384.9651859,0.7721193416,0.8704481793,0.7150406504,0.6394032922,0.9048353909,0.7372479241,0.7988192552
LSTM,MinMax,Random,203.6346979,0.7795781893,0.8463989802,0.7343682622,0.683127572,0.8760288066,0.756048961,0.798967863
GRU,MinMax,Random,203.5843186,0.7817644033,0.8979295314,0.7180967549,0.6358024691,0.9277263374,0.7444661949,0.8095612165
ANN,Robust,SMOTE,21.84783554,0.9598765432,0.945663011,0.9750265675,0.9758230453,0.9439300412,0.9605063291,0.9592263461
1DCNN,Robust,SMOTE,41.54753542,0.9391718107,0.9427015815,0.9356978821,0.9351851852,0.9431584362,0.9389283409,0.939413347
BiRNN,Robust,SMOTE,385.7415392,0.9146090535,0.8596608657,0.9893746205,0.9909979424,0.8382201646,0.9206690562,0.9075466444
LSTM,Robust,SMOTE,204.3408601,0.9066358025,0.8450458315,0.9949906074,0.9958847737,0.8173868313,0.9142857143,0.8974865857
GRU,Robust,SMOTE,263.806046,0.919367284,0.88373735,0.9622908988,0.9657921811,0.8729423868,0.9229445742,0.9154416723
ANN,Robust,ADASYN,41.55975676,0.9579756566,0.935207824,0.9830417227,0.9837962963,0.9323461833,0.9588869391,0.9570230608
1DCNN,Robust,ADASYN,27.78840876,0.935938501,0.9184782609,0.9547511312,0.9562757202,0.9157518509,0.9369959677,0.9348449309
BiRNN,Robust,ADASYN,865.9434783,0.9123638693,0.8640909091,0.974743025,0.9778806584,0.8473321419,0.9174710425,0.9065829008
LSTM,Robust,ADASYN,447.3911269,0.9180012812,0.8885167464,0.952,0.9552469136,0.8810314016,0.9206742687,0.9151418722
GRU,Robust,ADASYN,564.7892468,0.9222293402,0.8705669754,0.9899348727,0.991255144,0.8537145775,0.9269993987,0.9167923235
ANN,Robust,Random,41.50931954,0.9130658436,0.9857834241,0.8592841163,0.8382201646,0.9879115226,0.9060328051,0.9191194066
1DCNN,Robust,Random,41.55124521,0.9012345679,0.9564072557,0.8579623681,0.8407921811,0.9616769547,0.8948809198,0.906863934
BiRNN,Robust,Random,385.0058112,0.7698045267,0.8592465753,0.7160214168,0.64531893,0.8942901235,0.7370740306,0.7952881976
LSTM,Robust,Random,203.5446892,0.7654320988,0.8777452416,0.7045995242,0.6167695473,0.9140946502,0.7244712991,0.7957904165
GRU,Robust,Random,263.555383,0.8058127572,0.8960692871,0.7490573942,0.691872428,0.9197530864,0.7808417997,0.8256753637
ANN,Standard,SMOTE,41.50442529,0.9601337449,0.9428217822,0.9788543897,0.97968107,0.9405864198,0.9608980827,0.9593389297
1DCNN,Standard,SMOTE,41.56846094,0.9381430041,0.934455496,0.9418936446,0.9423868313,0.933899177,0.9384044052,0.9378793749
BiRNN,Standard,SMOTE,386.1471958,0.9099794239,0.8481869812,0.9984365228,0.9987139918,0.821244856,0.9173163241,0.9012136607
LSTM,Standard,SMOTE,203.6484516,0.9292695473,0.8885009311,0.9795977011,0.9817386831,0.8768004115,0.9327956989,0.9253528773
GRU,Standard,SMOTE,226.326371,0.9282407407,0.8872093023,0.9789988493,0.9812242798,0.8752572016,0.93185149,0.9242259641
ANN,Standard,ADASYN,27.79545856,0.9559256887,0.9284332689,0.9869174162,0.987654321,0.9244319632,0.9571286142,0.9546533087
1DCNN,Standard,ADASYN,41.6162591,0.932735426,0.942616478,0.9233649526,0.9210390947,0.9443451621,0.931702875,0.9337372207
BiRNN,Standard,ADASYN,866.1062691,0.9186418962,0.8738221099,0.9751013318,0.9778806584,0.8598417156,0.9229275397,0.9138515805
LSTM,Standard,ADASYN,504.4249625,0.936579116,0.9053763441,0.9726519337,0.974537037,0.8989022211,0.9386845039,0.9343240016
GRU,Standard,ADASYN,538.673182,0.9287636131,0.8793260474,0.9923820686,0.9933127572,0.8646923666,0.9328502415,0.9241473397
ANN,Standard,Random,41.75399709,0.9180812757,0.9918305598,0.8635651979,0.8431069959,0.9930555556,0.9114416794,0.9237947123
1DCNN,Standard,Random,41.52373147,0.9059927984,0.9870410367,0.8480705623,0.8227880658,0.9891975309,0.8974610745,0.9132138193
BiRNN,Standard,Random,340.8249996,0.8063271605,0.9026369168,0.7471980075,0.6867283951,0.9259259259,0.7800175285,0.8270158511
LSTM,Standard,Random,203.5632896,0.7695473251,0.8027151935,0.7429299954,0.7147633745,0.8243312757,0.7561904762,0.7815167032
GRU,Standard,Random,203.6744723,0.8707561728,0.9781094527,0.8027725268,0.7584876543,0.9830246914,0.8544111256,0.8838015956